Date,ITag,Stage,Pass,Failed,Blocked,NoRun,NotComplete,NA,Others
2018-08-02,I164_I39_I167,Stage_1,0,8,0,16,0,0,1
2018-08-02,I54,Stage_2,0,0,0,5,0,0,0
2018-08-02,I180,Stage_1,0,0,0,3,1,0,0
2018-08-02,I180,Stage_3,0,0,0,5,0,0,0
2018-08-02,I180,Stage_2,0,0,0,5,0,0,0
2018-08-02,I177,Stage_1,0,0,0,2,0,0,0
2018-08-02,I41,Stage_1,0,2,0,10,0,0,0
2018-08-02,I181,Stage_1,1,0,0,0,0,0,0
2018-08-02,I58,Stage_1,0,2,0,2,0,0,0
2018-08-02,I58,Stage_2,1,0,0,3,0,0,0
2018-08-02,I54,Stage_1,0,3,0,5,0,0,0
2018-08-02,I53,Stage_1,2,0,0,1,0,0,0
2018-08-02,I51,Stage_1,0,1,0,3,0,0,0
2018-08-02,I53,Stage_2,0,0,0,3,0,0,0
2018-08-02,I41,Stage_3,0,0,0,7,0,0,0
2018-08-02,I41,Stage_2,0,0,0,9,0,0,0
2018-08-02,I51,Stage_2,0,0,0,3,0,0,0
2018-08-02,I51,Stage_3,0,0,0,3,0,0,0
2018-08-02,I181,Stage_2,0,0,0,1,0,0,0
2018-08-02,I177,Stage_2,0,0,0,1,0,0,0
