Test,I-Tag,Stage,Status
stage_3_Dedupe_Compress IO VMs in different stroage containers  when pull_insert drive,I164_I39_I167,Stage_1,No Run
Stage_2_Reprotection after Planed Failover,I54,Stage_2,No Run
stage_1_Dedupe_Compress IO VMs in different stroage containers  when pull_insert drive,I164_I39_I167,Stage_1,Failed
Stage_1_Storage vMotion between Virtual Datastores (same Appliance),I180,Stage_1,No Run
stage_2_VM Deploy_Delete With Dedupe_compress IO,I164_I39_I167,Stage_1,No Run
stage_3_Long term  trim IO with object deletion,I164_I39_I167,Stage_1,No Run
Stage_1_Create Clone of a Virtual Machine from a snapshot VM,I180,Stage_1,No Run
Stage_3_Create Linked Clone of a Virtual Machine from a snapshot VM,I180,Stage_3,No Run
stage_3_Replication with small RPO and massive IO,I164_I39_I167,Stage_1,Failed
Stage_3_Create Clone of a Virtual Machine from a snapshot VM,I180,Stage_3,No Run
stage_3_Multiple IO patterns different dedupe ratios and compression ratios  flush in parallel,I164_I39_I167,Stage_1,No Run
stage_2_Multiple IO patterns different dedupe ratios and compression ratios  flush in parallel,I164_I39_I167,Stage_1,No Run
Stage_2_Create Clone of a Virtual Machine from a snapshot VM,I180,Stage_2,No Run
stage_2_Massive object modifications expand_shrink_during IO running,I164_I39_I167,Stage_1,No Run
Stage_2_Massive VM operations with heavy IO,I180,Stage_2,No Run
Stage_3_Massive VM operations with high computing resource utlization and heavy IO,I180,Stage_3,No Run
stage_3_Massive object modifications expand_shrink_during IO running,I164_I39_I167,Stage_1,No Run
Stage_3_Storage vMotion between Virtual Datastores (same Appliance),I180,Stage_3,No Run
Stage_2_Storage vMotion between Virtual Datastores (same Appliance),I180,Stage_2,No Run
Host and Host Group Management,I177,Stage_1,No Run
stage_2_Dedupe_Compress IO VMs in different stroage containers  when pull_insert drive,I164_I39_I167,Stage_1,No Run
Stage_1_Deploy Vmware VMs on HCI based Cluster,I41,Stage_1,Failed
Stage_1_Clones from CGs and Volumes_Refresh_Restore,I181,Stage_1,Passed
stage_1_VM Deploy_Delete With Dedupe_compress IO,I164_I39_I167,Stage_1,Failed
stage_3_Modification and trim on large volume with dedupe_compress IO,I164_I39_I167,Stage_1,No Run
Stage_1_Variable Operations of Block Volumes_Expand,I58,Stage_1,Failed
Stage_1_Variable Operations of Block Volumes_SC,I58,Stage_1,No Run
Stage_1_Variable Operations of Block Volumes_SAN,I58,Stage_1,No Run
Stage_2_Variable Operations of Block Volumes_Expand,I58,Stage_2,No Run
Stage_2_Variable Operations of Block Volumes_Basic_IO,I58,Stage_2,Passed
Stage_2_Variable Operations of Block Volumes_SC,I58,Stage_2,No Run
Stage_2_Variable Operations of Block Volumes_SAN,I58,Stage_2,No Run
Stage_1_Variable Operations of Block Volumes_Basic_IO,I58,Stage_1,Failed
Stage_1_Replication and Policy Support for CG Membership Changes,I54,Stage_1,Failed
Reprotection after Planed Failover,I54,Stage_1,No Run
Stage_1_Snapshot Scheduler,I53,Stage_1,Passed
Stage_1_Block Asynchronous Replication,I54,Stage_1,Failed
VMware VMs creation with different virtual disk types,I41,Stage_1,No Run
VMware VM Snapshots management via vSphere,I51,Stage_1,No Run
